,neg_sent,neu_sent,pos_sent
1292,0.013,0.801,0.186
1293,0.018,0.868,0.114
1294,0.023,0.851,0.127
1295,0.011,0.848,0.141
1296,0.022,0.804,0.174
1297,0.026,0.823,0.151
1298,0.02,0.807,0.173
1299,0.028,0.853,0.12
1300,0.017,0.828,0.156
1301,0.021,0.85,0.129
1302,0.036,0.845,0.119
1303,0.043,0.828,0.129
1304,0.029,0.843,0.128
1305,0.024,0.814,0.162
1306,0.034,0.814,0.152
1307,0.042,0.808,0.149
1308,0.02,0.846,0.135
1309,0.021,0.834,0.145
1310,0.015,0.808,0.177
1311,0.021,0.819,0.16
1312,0.028,0.884,0.088
1313,0.022,0.84,0.138
1314,0.017,0.863,0.12
1315,0.021,0.818,0.161
1316,0.009,0.844,0.147
1317,0.008,0.834,0.159
1318,0.014,0.853,0.132
1319,0.018,0.814,0.167
1320,0.022,0.803,0.175
1321,0.034,0.817,0.149
1322,0.016,0.872,0.112
1323,0.028,0.82,0.152
1324,0.028,0.821,0.151
1325,0.022,0.812,0.166
1326,0.027,0.843,0.13
1327,0.015,0.82,0.165
1328,0.026,0.816,0.158
1329,0.014,0.841,0.145
1330,0.016,0.862,0.122
1331,0.026,0.811,0.163
1332,0.004,0.874,0.121
1333,0.025,0.81,0.166
1334,0.021,0.808,0.171
1335,0.019,0.818,0.163
1336,0.01,0.82,0.17
1337,0.013,0.816,0.171
1338,0.026,0.826,0.148
1339,0.021,0.819,0.16
1340,0.023,0.834,0.143
1341,0.021,0.823,0.156
1342,0.014,0.8,0.187
1343,0.025,0.837,0.139
1344,0.013,0.805,0.182
1345,0.032,0.845,0.122
1346,0.015,0.806,0.179
1347,0.039,0.802,0.16
1348,0.021,0.846,0.133
1349,0.017,0.808,0.175
1350,0.031,0.841,0.127
1351,0.036,0.835,0.129
1352,0.022,0.81,0.168
1353,0.017,0.811,0.172
1354,0.023,0.8,0.176
1355,0.02,0.838,0.142
1356,0.021,0.87,0.11
1357,0.014,0.858,0.128
1358,0.013,0.83,0.157
1359,0.018,0.835,0.146
1360,0.034,0.846,0.12
1361,0.023,0.832,0.145
1362,0.018,0.832,0.149
1363,0.034,0.816,0.15
1364,0.027,0.835,0.137
1365,0.021,0.829,0.15
1366,0.013,0.856,0.131
1367,0.025,0.852,0.123
1368,0.021,0.793,0.186
1369,0.021,0.846,0.132
1370,0.027,0.805,0.167
1371,0.012,0.849,0.139
1372,0.024,0.866,0.11
1373,0.043,0.813,0.144
1374,0.019,0.83,0.151
1375,0.021,0.819,0.16
1376,0.031,0.815,0.154
1377,0.006,0.84,0.154
1378,0.031,0.876,0.093
1379,0.018,0.84,0.141
1380,0.034,0.834,0.131
1381,0.013,0.832,0.156
1382,0.023,0.818,0.158
1383,0.016,0.821,0.162
1384,0.02,0.821,0.159
1385,0.007,0.833,0.16
1386,0.018,0.865,0.117
1387,0.028,0.815,0.157
1388,0.042,0.825,0.133
1389,0.015,0.819,0.166
1390,0.025,0.842,0.133
1391,0.024,0.836,0.14
1392,0.03,0.791,0.179
1393,0.017,0.834,0.149
1394,0.029,0.853,0.118
1395,0.007,0.841,0.152
1396,0.026,0.84,0.134
1397,0.033,0.839,0.128
1398,0.019,0.84,0.141
1399,0.031,0.795,0.175
1400,0.029,0.849,0.122
1401,0.02,0.787,0.192
1402,0.013,0.847,0.14
1403,0.012,0.846,0.142
1404,0.022,0.794,0.184
1405,0.007,0.858,0.135
1406,0.014,0.833,0.153
1407,0.022,0.804,0.174
1408,0.022,0.821,0.158
1409,0.012,0.83,0.158
1410,0.011,0.83,0.159
1411,0.017,0.811,0.172
1412,0.009,0.865,0.126
1413,0.027,0.848,0.126
1414,0.033,0.839,0.128
1415,0.018,0.846,0.136
1416,0.011,0.828,0.16
1417,0.026,0.828,0.146
1418,0.02,0.819,0.16
1419,0.019,0.841,0.139
1420,0.021,0.84,0.138
1421,0.035,0.808,0.157
1422,0.012,0.832,0.155
1423,0.029,0.856,0.115
1424,0.016,0.81,0.173
1425,0.024,0.846,0.131
1426,0.011,0.814,0.175
1427,0.013,0.848,0.139
1428,0.029,0.825,0.146
1429,0.025,0.829,0.145
1430,0.035,0.826,0.139
1431,0.032,0.79,0.177
1432,0.029,0.848,0.123
1433,0.03,0.833,0.137
1434,0.029,0.847,0.124
1435,0.018,0.856,0.126
1436,0.016,0.81,0.174
1437,0.017,0.83,0.153
1438,0.025,0.839,0.136
1439,0.015,0.838,0.147
1440,0.032,0.835,0.132
1441,0.015,0.814,0.171
1442,0.011,0.815,0.174
1443,0.024,0.853,0.123
1444,0.014,0.819,0.167
1445,0.021,0.857,0.122
1446,0.016,0.833,0.151
1447,0.022,0.818,0.161
1448,0.021,0.817,0.162
1449,0.015,0.839,0.146
1450,0.01,0.827,0.164
1451,0.021,0.829,0.15
1452,0.013,0.838,0.149
1453,0.02,0.817,0.163
1454,0.013,0.823,0.164
1455,0.016,0.828,0.155
1456,0.02,0.86,0.12
1457,0.012,0.859,0.129
1458,0.009,0.836,0.155
1459,0.023,0.804,0.173
1460,0.018,0.82,0.162
1461,0.015,0.81,0.175
1462,0.017,0.839,0.144
1463,0.013,0.808,0.179
1464,0.02,0.778,0.202
1465,0.014,0.794,0.191
1466,0.026,0.816,0.159
1467,0.026,0.827,0.147
1468,0.02,0.787,0.194
1469,0.019,0.827,0.154
1470,0.016,0.86,0.124
1471,0.007,0.844,0.149
1472,0.009,0.83,0.161
1473,0.011,0.835,0.155
1474,0.015,0.802,0.183
1475,0.025,0.798,0.177
1476,0.022,0.865,0.113
1477,0.027,0.841,0.132
1478,0.018,0.838,0.144
1479,0.01,0.821,0.168
1480,0.018,0.819,0.163
1481,0.011,0.808,0.182
1482,0.022,0.839,0.139
1483,0.005,0.84,0.155
1484,0.012,0.821,0.167
1485,0.022,0.825,0.152
1486,0.016,0.836,0.148
1487,0.029,0.849,0.123
1488,0.022,0.817,0.161
1489,0.026,0.821,0.153
1490,0.021,0.843,0.136
1491,0.031,0.832,0.137
1492,0.018,0.809,0.174
1493,0.013,0.828,0.159
1494,0.018,0.828,0.154
1495,0.022,0.788,0.19
1496,0.021,0.85,0.129
1497,0.017,0.795,0.188
1498,0.007,0.831,0.162
1499,0.028,0.817,0.155
1500,0.033,0.812,0.155
1501,0.024,0.849,0.127
1502,0.025,0.828,0.147
1503,0.02,0.79,0.19
1504,0.036,0.789,0.175
1505,0.02,0.816,0.164
1506,0.038,0.825,0.136
1507,0.009,0.817,0.174
1508,0.006,0.847,0.147
1509,0.017,0.849,0.133
1510,0.027,0.861,0.112
1511,0.008,0.819,0.172
1512,0.009,0.836,0.155
1513,0.011,0.824,0.165
1514,0.016,0.806,0.178
1515,0.019,0.847,0.134
1516,0.026,0.806,0.168
1517,0.02,0.827,0.152
1518,0.024,0.841,0.135
1519,0.019,0.841,0.14
1520,0.023,0.81,0.166
1521,0.021,0.797,0.183
1522,0.038,0.846,0.116
1523,0.013,0.847,0.14
1524,0.018,0.839,0.143
1525,0.024,0.846,0.13
1526,0.011,0.815,0.173
1527,0.031,0.833,0.136
1528,0.019,0.788,0.193
1529,0.02,0.837,0.144
1530,0.019,0.821,0.16
1531,0.026,0.82,0.154
1532,0.031,0.835,0.134
1533,0.02,0.833,0.147
1534,0.01,0.854,0.136
1535,0.024,0.841,0.135
1536,0.019,0.807,0.175
1537,0.019,0.845,0.137
1538,0.019,0.809,0.171
1539,0.027,0.84,0.133
1540,0.011,0.839,0.15
1541,0.007,0.83,0.163
1542,0.017,0.822,0.161
1543,0.01,0.834,0.156
1544,0.018,0.814,0.168
1545,0.022,0.826,0.152
1546,0.018,0.816,0.166
1547,0.009,0.852,0.139
1548,0.015,0.822,0.163
1549,0.009,0.857,0.135
1550,0.024,0.817,0.159
1551,0.018,0.8,0.182
1552,0.029,0.848,0.123
1553,0.016,0.844,0.141
1554,0.013,0.813,0.174
1555,0.015,0.791,0.195
1556,0.018,0.857,0.124
1557,0.014,0.826,0.159
1558,0.012,0.879,0.109
1559,0.017,0.81,0.174
1560,0.014,0.844,0.142
1561,0.009,0.833,0.158
1562,0.02,0.822,0.157
1563,0.015,0.8,0.185
1564,0.022,0.839,0.139
