,Topic0,Topic1,Topic2,Topic3,dominant_topic,merge_col
Doc1449,0.96,0.01,0.01,0.01,0,1465
Doc1450,0.15,0.01,0.83,0.01,2,1466
Doc1451,0.95,0.02,0.02,0.02,0,1468
Doc1452,0.95,0.02,0.02,0.02,0,1469
Doc1453,0.96,0.01,0.02,0.01,0,1472
Doc1454,0.96,0.01,0.02,0.01,0,1474
Doc1455,0.02,0.02,0.94,0.02,2,1475
Doc1456,0.93,0.02,0.02,0.02,0,1477
Doc1457,0.93,0.02,0.02,0.02,0,1479
Doc1458,0.96,0.01,0.01,0.01,0,1480
Doc1459,0.95,0.02,0.02,0.02,0,1482
Doc1460,0.95,0.02,0.02,0.02,0,1484
Doc1461,0.02,0.01,0.95,0.01,2,1485
Doc1462,0.02,0.02,0.94,0.02,2,1486
Doc1463,0.45,0.01,0.52,0.01,2,1487
Doc1464,0.96,0.01,0.01,0.01,0,1491
Doc1465,0.96,0.01,0.02,0.01,0,1493
Doc1466,0.79,0.01,0.18,0.01,0,1497
Doc1467,0.39,0.02,0.58,0.02,2,1500
Doc1468,0.95,0.02,0.02,0.02,0,1501
Doc1469,0.96,0.01,0.02,0.01,0,1502
Doc1470,0.95,0.02,0.02,0.02,0,1508
Doc1471,0.95,0.02,0.02,0.02,0,1510
Doc1472,0.02,0.01,0.95,0.01,2,1512
Doc1473,0.94,0.02,0.02,0.02,0,1513
Doc1474,0.32,0.02,0.65,0.02,2,1515
Doc1475,0.95,0.01,0.02,0.01,0,1517
Doc1476,0.96,0.01,0.02,0.01,0,1518
Doc1477,0.96,0.01,0.02,0.01,0,1526
Doc1478,0.29,0.02,0.68,0.02,2,1527
Doc1479,0.95,0.02,0.02,0.02,0,1528
Doc1480,0.96,0.01,0.01,0.01,0,1529
Doc1481,0.94,0.02,0.02,0.02,0,1531
Doc1482,0.96,0.01,0.01,0.01,0,1532
Doc1483,0.95,0.01,0.02,0.01,0,1533
Doc1484,0.96,0.01,0.01,0.01,0,1535
Doc1485,0.96,0.01,0.01,0.01,0,1536
Doc1486,0.94,0.02,0.02,0.02,0,1537
Doc1487,0.02,0.01,0.96,0.01,2,1539
Doc1488,0.11,0.02,0.85,0.02,2,1549
Doc1489,0.02,0.02,0.95,0.02,2,1551
Doc1490,0.02,0.01,0.96,0.01,2,1553
Doc1491,0.95,0.02,0.02,0.02,0,1556
Doc1492,0.02,0.02,0.94,0.02,2,1557
Doc1493,0.27,0.01,0.7,0.01,2,1558
Doc1494,0.42,0.02,0.54,0.02,2,1559
Doc1495,0.94,0.02,0.02,0.02,0,1561
Doc1496,0.96,0.01,0.01,0.01,0,1562
Doc1497,0.96,0.01,0.01,0.01,0,1563
Doc1498,0.96,0.01,0.01,0.01,0,1564
Doc1499,0.01,0.01,0.96,0.01,2,1565
Doc1500,0.01,0.01,0.96,0.01,2,1566
Doc1501,0.44,0.01,0.53,0.01,2,1567
Doc1502,0.02,0.02,0.95,0.02,2,1572
Doc1503,0.96,0.01,0.01,0.01,0,1574
Doc1504,0.02,0.02,0.95,0.02,2,1575
Doc1505,0.96,0.01,0.01,0.01,0,1576
Doc1506,0.96,0.01,0.02,0.01,0,1578
Doc1507,0.15,0.02,0.81,0.02,2,1581
Doc1508,0.95,0.02,0.02,0.02,0,1582
Doc1509,0.95,0.02,0.02,0.02,0,1584
Doc1510,0.95,0.02,0.02,0.02,0,1586
